Edad	Genero	No_hijos	Nivel_Educativo	Estrato_Socio	Ingresos	Peso	Talla	Fuma	Lentes	Casa_propia	Automovil
36	Femenino	2	4	2	3072000	58	179	No	No	Si	No
46	Femenino	3	2	4	2420000	75	163	Si	Si	No	No
41	Femenino	0	1	2	4425000	72	172	Si	No	Si	No
54	Masculino	0	1	2	4334000	97	180	No	No	No	Si
35	Femenino	0	1	4	3551000	87	161	Si	No	No	Si
51	Femenino	2	4	3	2233000	68	168	Si	Si	Si	No
25	Femenino	2	4	2	5343000	85	170	No	Si	Si	Si
31	Masculino	1	4	4	5256000	61	183	Si	Si	No	No
34	Femenino	0	1	4	3182000	63	166	No	Si	Si	No
41	Masculino	1	3	3	4231000	80	161	No	Si	Si	Si
33	Masculino	1	4	3	2833000	79	173	No	No	No	No
33	Femenino	2	4	4	4076000	78	182	Si	No	No	Si
26	Femenino	3	4	3	5583000	67	164	Si	No	No	No
24	Masculino	2	3	2	1847000	86	173	Si	No	Si	Si
42	Masculino	3	3	2	4542000	62	163	No	Si	No	No
42	Femenino	1	4	3	3365000	83	172	Si	No	No	No
31	Femenino	0	3	3	1881000	79	164	Si	No	Si	Si
48	Masculino	1	1	4	1939000	75	167	Si	No	Si	Si
33	Masculino	2	1	3	5034000	89	178	No	Si	Si	Si
48	Femenino	2	2	3	5422000	80	177	No	No	Si	Si
57	Masculino	2	1	4	4091000	97	163	Si	Si	Si	No
41	Masculino	2	2	2	2664000	86	163	Si	No	Si	Si
38	Femenino	1	1	4	1702000	79	183	No	No	Si	No
31	Femenino	1	4	2	4318000	73	176	Si	No	Si	No
57	Femenino	1	4	3	3387000	74	172	No	Si	No	No
53	Masculino	3	4	4	5157000	76	175	Si	Si	No	No
29	Masculino	3	3	4	2379000	94	163	No	No	No	No
56	Masculino	2	4	4	2756000	96	162	Si	Si	Si	Si
41	Masculino	2	4	3	4414000	95	168	Si	No	Si	No
38	Masculino	3	2	3	4000000	64	168	Si	Si	Si	No
46	Femenino	0	3	3	4924000	66	178	Si	No	No	Si
35	Femenino	0	1	3	3378000	98	163	No	Si	Si	Si
24	Femenino	1	4	4	2081000	70	169	No	No	No	Si
49	Femenino	1	2	2	2392000	91	164	Si	Si	Si	No
55	Femenino	2	1	3	1765000	96	173	Si	Si	Si	No
40	Masculino	2	2	2	4539000	94	166	No	No	Si	No
